850	352	podle	
208	154	řekl	
176	130	uvedl	
137	98	říká	
98	77	uvedla	
59	48	řekla	
62	44	dodal	
55	43	popisuje	
49	39	vysvětluje	
50	39	dodává	
54	38	tvrdí	
42	31	uvádí	
40	31	prohlásil	
47	29	napsal	
47	29	informoval	
44	25	píše	
32	22	informovala	
26	21	napsala	
24	20	popsal	
29	19	oznámila	
23	17	upozorňuje	
27	17	potvrdil	
37	17	oznámil	
21	17	dodala	
20	15	doplňuje	
13	11	vysvětlil	
15	11	sdělila	
17	10	sdělil	
23	10	připomíná	
10	9	přibližuje	
10	9	popsala	
11	9	míní	
10	8	uzavírá	
13	8	uvedlo	
12	8	připomněl	
12	8	potvrdila	
28	8	označil	
11	7	zdůraznil	
10	7	vzpomíná	
12	7	reagoval	
8	7	přiznává	
9	7	informuje	
8	7	doplnil	
17	6	zjistili	
8	6	tvrdil	
9	6	poznamenal	
8	6	potvrzuje	
7	6	podotkl	
5	5	vzpomínal	
15	5	věří	
16	5	uvedli	
16	5	upozornil	
6	5	konstatuje	
6	5	citoval	
13	4	zjistil	
8	4	zdůrazňuje	
28	4	vyplývá	
8	4	varují	
8	4	varuje	
23	4	ukazuje	
5	4	soudí	
208	4	Řekl	
8	4	reaguje	
9	4	přidává	
8	4	popřel	
5	4	popisoval	
10	4	pokračuje	
6	4	podotýká	
17	4	odmítá	
15	4	odhaduje	
5	4	odhadl	
26	4	myslí	si
4	4	líčí	
5	4	informovalo	
5	4	informovali	
7	4	doplnila	
11	3	zveřejnila	
14	3	zveřejnil	
6	3	zopakoval	
3	3	vypočítává	
5	3	varoval	
3	3	upřesňuje	
4	3	upozorňují	
6	3	ukázal	
7	3	slíbil	
14	3	přiznal	
5	3	připomněla	
73	3	prý	
5	3	prokázal	
7	3	prohlásila	
3	3	poznamenává	
3	3	poznamenala	
20	3	považuje	
6	3	potvrdili	
4	3	pochvaluje	si
7	3	oznámili	
12	3	odpovídá	
4	3	konstatoval	
6	3	komentoval	
14	2	zní	
2	2	zmínila	
6	2	zmínil	
3	2	zhodnotil	
8	2	vzkázal	
11	2	vyzvala	
3	2	vysvětloval	
2	2	vysvětlila	
7	2	vypráví	
2	2	vyjmenovává	
3	2	uvádějí	
2	2	usmíval	se
3	2	upozorňovali	
4	2	upozornila	
2	2	smál	se
3	2	shrnuje	
17	2	říkal	
5	2	reagovala	
4	2	radí	
22	2	přišel	
4	2	připouští	
6	2	připomínají	
9	2	přinesl	
7	2	přeje	si
2	2	předvídá	
9	2	předpokládá	
3	2	prozradil	
